station_id,station_name,is_mission_set,kana
AOBADAI,青葉台,false,あおばだい
AZAMINO,あざみ野,true,あざみの
BASHAMICHI,馬車道,true,ばしゃみち
CHIDORICHO,千鳥町,false,ちどりちょう
CHUORINKAN,中央林間,true,ちゅうおうりんかん
DAIKANYAMA,代官山,false,だいかんやま
DENENCHOFU,田園調布,false,でんえんちょうふ
EBARAMACHI,荏原町,false,えばらまち
EBARANAKANOBU,荏原中延,false,えばらなかのぶ
EDA,江田,false,えだ
FUDOMAE,不動前,false,ふどうまえ
FUJIGAOKA,藤が丘,false,ふじがおか
FUTAKOSHINCHI,二子新地,false,ふたこしんち
FUTAKOTAMAGAWA,二子玉川,false,ふたこたまがわ
GAKUGEIDAIGAKU,学芸大学,false,がくげいだいがく
GOTANDA,五反田,true,ごたんだ
HAKURAKU,白楽,true,はくらく
HASUNUMA,蓮沼,false,はすぬま
HATANODAI,旗の台,false,はたのだい
HIGASHIHAKURAKU,東白楽,false,ひがしはくらく
HIYOSHI,日吉,true,ひよし
ICHIGAO,市が尾,false,いちがお
IKEGAMI,池上,true,いけがみ
IKEJIRIOHASHI,池尻大橋,false,いけじりおおはし
ISHIKAWADAI,石川台,false,いしかわだい
JIYUGAOKA,自由が丘,false,じゆうがおか
KAJIGAYA,梶が谷,false,かじがや
KAMATA,蒲田,false,かまた
KAMINOGE,上野毛,false,かみのげ
KIKUNA,菊名,false,きくな
KITASENZOKU,北千束,false,きたせんぞく
KOMAZAWADAIGAKU,駒沢大学,false,こまざわだいがく
KUGAHARA,久が原,false,くがはら
KUHONBUTSU,九品仏,false,くほんぶつ
MEGURO,目黒,true,めぐろ
MIDORIGAOKA,緑が丘,false,みどりがおか
MINAMIMACHIDAGRANBERRYPARK,南町田グランベリーパーク,true,みなみまちだぐらんべりーぱーく
MINATOMIRAI,みなとみらい,false,みなとみらい
MIYAMAEDAIRA,宮前平,false,みやまえだいら
MIYAZAKIDAI,宮崎台,false,みやざきだい
MIZONOKUCHI,溝の口,true,みぞのくち
MOTOMACHICHUKAGAI,元町・中華街,true,もとまちちゅうかがい
MOTOSUMIYOSHI,元住吉,false,もとすみよし
MUSASHIKOSUGI,武蔵小杉,false,むさしこすぎ
MUSASHIKOYAMA,武蔵小山,true,むさしこやま
MUSASHINITTA,武蔵新田,false,むさしにった
MYORENJI,妙蓮寺,false,みょうれんじ
NAGAHARA,長原,false,ながはら
NAGATSUTA,長津田,true,ながつた
NAKAMEGURO,中目黒,true,なかめぐろ
NAKANOBU,中延,false,なかのぶ
NIHONODORI,日本大通り,false,にほんおおどおり
NISHIKOYAMA,西小山,false,にしこやま
NUMABE,沼部,false,ぬまべ
OIMACHI,大井町,true,おおいまち
OKURAYAMA,大倉山,false,おおくらやま
OKUSAWA,奥沢,false,おくさわ
ONTAKESAN,御嶽山,false,おんたけさん
OOKAYAMA,大岡山,true,おおおかやま
OSAKIHIROKOJI,大崎広小路,false,おおさきひろこうじ
OYAMADAI,尾山台,false,おやまだい
SAGINUMA,鷺沼,false,さぎぬま
SAKURASHINMACHI,桜新町,false,さくらしんまち
SANGENJAYA,三軒茶屋,true,さんげんぢゃや
SENZOKU,洗足,false,せんぞく
SENZOKUIKE,洗足池,true,せんぞくいけ
SHIBUYA,渋谷,true,しぶや
SHIMOMARUKO,下丸子,false,しもまるこ
SHIMOSHINMEI,下神明,false,しもしんめい
SHINMARUKO,新丸子,false,しんまるこ
SHINTAKASHIMA,新高島,true,しんたかしま
SHINTSUNASHIMA,新綱島,false,しんつなしま
SHINYOKOHAMA,新横浜,true,しんよこはま
SUZUKAKEDAI,すずかけ台,false,すずかけだい
TAKATSU,高津,false,たかつ
TAMAGAWA,多摩川,true,たまがわ
TAMAPLAZA,たまプラーザ,false,たまぷらーざ
TANA,田奈,false,たな
TANMACHI,反町,false,たんまち
TODOROKI,等々力,false,とどろき
TOGOSHIGINZA,戸越銀座,false,とごしぎんざ
TOGOSHIKOEN,戸越公園,false,とごしこうえん
TORITSUDAIGAKU,都立大学,false,とりつだいがく
TSUKIMINO,つきみ野,false,つきみの
TSUKUSHINO,つくし野,false,つくしの
TSUNASHIMA,綱島,false,つなしま
UNOKI,鵜の木,false,うのき
YAGUCHINOWATASHI,矢口渡,false,やぐちのわたし
YOGA,用賀,false,ようが
YOKOHAMA,横浜,false,よこはま
YUKIGAYAOTSUKA,雪が谷大塚,false,ゆきがやおおつか
YUTENJI,祐天寺,true,ゆうてんじ