transit_station_id,team_id,station_id,created_at,updated_at
41,teamA,JIYUGAOKA,2025-05-17 01:00:00+00,2025-05-16 15:00:00+00
42,teamB,JIYUGAOKA,2025-05-17 01:00:00+00,2025-05-16 15:00:00+00
43,teamC,JIYUGAOKA,2025-05-17 01:00:00+00,2025-05-16 15:00:00+00
44,teamD,JIYUGAOKA,2025-05-17 01:00:00+00,2025-05-16 15:00:00+00
130,teamD,OYAMADAI,2025-05-17 01:40:11.462336+00,2025-05-17 01:40:11.462336+00
131,teamC,TODOROKI,2025-05-17 01:42:04.007309+00,2025-05-17 01:42:04.007309+00
132,teamA,TODOROKI,2025-05-17 01:42:43.318388+00,2025-05-17 01:42:43.318388+00
133,teamB,TODOROKI,2025-05-17 01:46:22.602656+00,2025-05-17 01:46:22.602656+00
134,teamC,MIZONOKUCHI,2025-05-17 01:54:09.206486+00,2025-05-17 01:54:09.206486+00
135,teamA,TAMAPLAZA,2025-05-17 02:02:51.125986+00,2025-05-17 02:02:51.125986+00
136,teamD,TAMAPLAZA,2025-05-17 02:03:13.19952+00,2025-05-17 02:03:13.19952+00
137,teamB,YOGA,2025-05-17 02:04:42.603158+00,2025-05-17 02:04:42.603158+00
138,teamC,TODOROKI,2025-05-17 02:27:59.837043+00,2025-05-17 02:27:59.837043+00
139,teamB,SHIBUYA,2025-05-17 02:36:33.728483+00,2025-05-17 02:36:33.728483+00
141,teamC,OOKAYAMA,2025-05-17 02:38:30.222422+00,2025-05-17 02:38:30.222422+00
142,teamD,OOKAYAMA,2025-05-17 02:45:49.348148+00,2025-05-17 02:45:49.348148+00
143,teamA,MIZONOKUCHI,2025-05-17 03:00:32.117163+00,2025-05-17 03:00:32.117163+00
144,teamD,MUSASHIKOYAMA,2025-05-17 03:03:28.821016+00,2025-05-17 03:03:28.821016+00
145,teamC,MEGURO,2025-05-17 03:07:49.334268+00,2025-05-17 03:07:49.334268+00
146,teamA,KAMINOGE,2025-05-17 03:49:39.724913+00,2025-05-17 03:49:39.724913+00
147,teamC,YOKOHAMA,2025-05-17 03:50:29.153759+00,2025-05-17 03:50:29.153759+00
148,teamA,OYAMADAI,2025-05-17 04:06:42.682964+00,2025-05-17 04:06:42.682964+00
149,teamB,YOGA,2025-05-17 04:19:27.116487+00,2025-05-17 04:19:27.116487+00
150,teamA,SHINMARUKO,2025-05-17 04:25:55.281755+00,2025-05-17 04:25:55.281755+00
151,teamC,HIGASHIHAKURAKU,2025-05-17 04:26:41.568759+00,2025-05-17 04:26:41.568759+00
152,teamC,MYORENJI,2025-05-17 04:37:29.895824+00,2025-05-17 04:37:29.895824+00
153,teamD,TAMAGAWA,2025-05-17 04:38:28.993043+00,2025-05-17 04:38:28.993043+00
154,teamB,FUTAKOTAMAGAWA,2025-05-17 04:39:06.296296+00,2025-05-17 04:39:06.296296+00
155,teamD,OOKAYAMA,2025-05-17 04:51:40.369931+00,2025-05-17 04:51:40.369931+00
156,teamB,OYAMADAI,2025-05-17 05:17:58.778562+00,2025-05-17 05:17:58.778562+00
158,teamA,MOTOSUMIYOSHI,2025-05-17 05:29:09.743241+00,2025-05-17 05:29:09.743241+00
159,teamC,OKURAYAMA,2025-05-17 05:43:59.135834+00,2025-05-17 05:43:59.135834+00
160,teamB,HIYOSHI,2025-05-17 05:47:24.444436+00,2025-05-17 05:47:24.444436+00
162,teamD,OYAMADAI,2025-05-17 06:07:18.21355+00,2025-05-17 06:07:18.21355+00
163,teamA,KUHONBUTSU,2025-05-17 06:10:36.606489+00,2025-05-17 06:10:36.606489+00
164,teamA,KUHONBUTSU,2025-05-17 06:11:22.96233+00,2025-05-17 06:11:22.96233+00
165,teamA,TAKATSU,2025-05-17 06:28:44.858307+00,2025-05-17 06:28:44.858307+00
166,teamC,MOTOSUMIYOSHI,2025-05-17 06:29:18.781644+00,2025-05-17 06:29:18.781644+00
167,teamA,TAKATSU,2025-05-17 06:29:24.91888+00,2025-05-17 06:29:24.91888+00
168,teamD,TAKATSU,2025-05-17 06:29:25.726492+00,2025-05-17 06:29:25.726492+00
169,teamB,DENENCHOFU,2025-05-17 06:40:24.131421+00,2025-05-17 06:40:24.131421+00
170,teamD,MIZONOKUCHI,2025-05-17 06:46:05.839318+00,2025-05-17 06:46:05.839318+00
171,teamA,MIYAZAKIDAI,2025-05-17 07:01:17.545176+00,2025-05-17 07:01:17.545176+00
172,teamB,NUMABE,2025-05-17 07:03:58.218184+00,2025-05-17 07:03:58.218184+00
173,teamC,SHINTSUNASHIMA,2025-05-17 07:08:22.520334+00,2025-05-17 07:08:22.520334+00
174,teamD,YOGA,2025-05-17 07:24:57.513544+00,2025-05-17 07:24:57.513544+00
175,teamA,TAMAPLAZA,2025-05-17 07:29:33.473663+00,2025-05-17 07:29:33.473663+00
176,teamC,SHINYOKOHAMA,2025-05-17 07:42:46.701205+00,2025-05-17 07:42:46.701205+00
177,teamB,TAMAGAWA,2025-05-17 07:52:18.748904+00,2025-05-17 07:52:18.748904+00
178,teamA,TANA,2025-05-17 07:54:47.552949+00,2025-05-17 07:54:47.552949+00
179,teamD,SAKURASHINMACHI,2025-05-17 08:02:41.313063+00,2025-05-17 08:02:41.313063+00
180,teamB,OOKAYAMA,2025-05-17 08:09:50.913396+00,2025-05-17 08:09:50.913396+00
181,teamA,SUZUKAKEDAI,2025-05-17 08:13:13.273232+00,2025-05-17 08:13:13.273232+00
182,teamD,SHIBUYA,2025-05-17 08:17:01.616918+00,2025-05-17 08:17:01.616918+00
183,teamC,TAMAGAWA,2025-05-17 08:40:40.443719+00,2025-05-17 08:40:40.443719+00
184,teamD,YUTENJI,2025-05-17 08:42:57.704828+00,2025-05-17 08:42:57.704828+00
185,teamA,TSUKIMINO,2025-05-17 08:46:07.541598+00,2025-05-17 08:46:07.541598+00
186,teamC,HIYOSHI,2025-05-17 09:05:22.928699+00,2025-05-17 09:05:22.928699+00
187,teamB,HIYOSHI,2025-05-17 09:07:56.468943+00,2025-05-17 09:07:56.468943+00
189,teamA,SHIBUYA,2025-05-23 13:07:33.756703+00,2025-05-23 13:07:33.756703+00